"","x"
"1","A930017M01Rik"
"2","Abhd2"
"3","Acsl1"
"4","Ankmy2"
"5","Cbx4"
"6","Cdc42ep4"
"7","Cpped1"
"8","Cul4a"
"9","Ddx42"
"10","Gpatch8"
"11","Grm2"
"12","Hnrnpa0"
"13","Hnrnpr"
"14","Il1rapl1"
"15","Kcnh2"
"16","Larp6"
"17","Lars"
"18","Mad1l1"
"19","Megf10"
"20","Mios"
"21","Mtdh"
"22","Nbas"
"23","Nlgn2"
"24","Nol3"
"25","Nosip"
"26","Nyap2"
"27","Pacs1"
"28","Pcdhb21"
"29","Pcyox1"
"30","Phf14"
"31","Ppp2r3a"
"32","Ptprb"
"33","Rab30"
"34","Sertad2"
"35","Setd2"
"36","Smyd3"
"37","Tceal6"
"38","Tcerg1"
"39","Tfip11"
"40","Tmem184b"
"41","U2surp"
"42","Vars"
