"","x"
"1","1110004F10Rik"
"2","1500004A13Rik"
"3","1600012H06Rik"
"4","1700037C18Rik"
"5","1700052K11Rik"
"6","1700101I11Rik"
"7","2010320M18Rik"
"8","2510002D24Rik"
"9","2700046G09Rik"
"10","2810429I04Rik"
"11","3830406C13Rik"
"12","6330415G19Rik"
"13","6430571L13Rik"
"14","9330104G04Rik"
"15","9330118I20Rik"
"16","9330171B17Rik"
"17","9430021M05Rik"
"18","9530082P21Rik"
"19","Adap2"
"20","Adck2"
"21","Adprm"
"22","Alkbh7"
"23","Ankrd28"
"24","Arfgap1"
"25","Arfgap3"
"26","Art3"
"27","Atp13a5"
"28","Atpaf2"
"29","B230208B08Rik"
"30","BC004004"
"31","BC025920"
"32","Bckdk"
"33","Blm"
"34","Bloc1s6"
"35","Brk1"
"36","Brpf3"
"37","C330013E15Rik"
"38","C530005A16Rik"
"39","Ccdc177"
"40","Ccne2"
"41","Cdpf1"
"42","Cep83os"
"43","Cetn3"
"44","Clcc1"
"45","Cln6"
"46","Cnbp"
"47","Cwf19l2"
"48","Cyp4x1"
"49","D930019O06Rik"
"50","Dcx"
"51","Ddx59"
"52","Dipk2a"
"53","Dnajc17"
"54","E130317F20Rik"
"55","E430018J23Rik"
"56","Eef1aknmt"
"57","Eif5"
"58","Enpp1"
"59","Eny2"
"60","Fads3"
"61","Fam135a"
"62","Fam50a"
"63","Fbxo6"
"64","Fbxw5"
"65","Fndc10"
"66","Frs3"
"67","Gdpgp1"
"68","Gfpt2"
"69","Gjd2"
"70","Gm10699"
"71","Gm12371"
"72","Gm15663"
"73","Gm15743"
"74","Gm17244"
"75","Gm20387"
"76","Gm20633"
"77","Gm29695"
"78","Gm34256"
"79","Gm3625"
"80","Gm42738"
"81","Gm47108"
"82","Gm49492"
"83","Gm7008"
"84","Gm9768"
"85","Gpr157"
"86","H2bu2"
"87","H6pd"
"88","Haus6"
"89","Hcls1"
"90","Hdgfl3"
"91","Hells"
"92","Hes6"
"93","Hmgb3"
"94","Hnrnpa1"
"95","Idh3g"
"96","Ift52"
"97","Ino80c"
"98","Iqcb1"
"99","Jag1"
"100","Kcnj8"
"101","Klf11"
"102","Klhdc9"
"103","Klhl23"
"104","Lama4"
"105","Lpcat1"
"106","Lrp8os2"
"107","Lrrc61"
"108","Lss"
"109","Lyrm4"
"110","Mamstr"
"111","Maoa"
"112","Map3k21"
"113","Map3k7"
"114","Mcm8"
"115","Mcm9"
"116","Mcts1"
"117","Mfsd3"
"118","Mgat1"
"119","Mipol1"
"120","Mknk1"
"121","Mrnip"
"122","Mrpl2"
"123","Ndufa4l2"
"124","Neu2"
"125","Nim1k"
"126","Ninl"
"127","Nkapd1"
"128","Nmnat3"
"129","Nppc"
"130","Nsdhl"
"131","Ntsr1"
"132","Ogg1"
"133","Olfr464"
"134","Omg"
"135","Oprl1"
"136","Oxsm"
"137","Parl"
"138","Parn"
"139","Patz1"
"140","Pced1b"
"141","Pcmtd1"
"142","Pecr"
"143","Pias3"
"144","Plcg1"
"145","Plvap"
"146","Pmf1"
"147","Ppcs"
"148","Ppp2r2d"
"149","Prkab1"
"150","Ptpn21"
"151","Pycr1"
"152","Rab24"
"153","Rbm48"
"154","Rft1"
"155","Rnf144a"
"156","Rtn4ip1"
"157","Scyl3"
"158","Sgk2"
"159","Sh2d3c"
"160","Sh3bgrl2"
"161","Slc16a4"
"162","Slc25a47"
"163","Slc35b2"
"164","Slc35f4"
"165","Slc41a3"
"166","Snapin"
"167","Snhg1"
"168","Snrpb2"
"169","Snx7"
"170","Spag7"
"171","St6gal2"
"172","Sypl"
"173","Tbx2"
"174","Tfr2"
"175","Thap6"
"176","Thnsl2"
"177","Thtpa"
"178","Tipin"
"179","Tk2"
"180","Tmem18"
"181","Tmem209"
"182","Tmem234"
"183","Tmem42"
"184","Tmem51"
"185","Tmem74b"
"186","Tmem86a"
"187","Tnfrsf11a"
"188","Tns2"
"189","Tom1"
"190","Tpst2"
"191","Trmt11"
"192","Trmt61a"
"193","Trub2"
"194","Tsku"
"195","Ttc38"
"196","Tubgcp2"
"197","Ubxn6"
"198","Ucp3"
"199","Usp43"
"200","Vash2"
"201","Vps29"
"202","Wasf2"
"203","Wls"
"204","Wwp2"
"205","Xrra1"
"206","Zfp119b"
"207","Zfp316"
"208","Zfp335os"
"209","Zfp362"
"210","Zfp46"
"211","Zfp469"
"212","Zfp566"
"213","Zfp777"
"214","Zfp9"
"215","Zfp93"
