"","x"
"1","0610040B10Rik"
"2","1700001L05Rik"
"3","1700086O06Rik"
"4","1700096K18Rik"
"5","1810014B01Rik"
"6","2010315B03Rik"
"7","2210016F16Rik"
"8","2310015A10Rik"
"9","2410002F23Rik"
"10","2410006H16Rik"
"11","2410022M11Rik"
"12","2810013P06Rik"
"13","2810402E24Rik"
"14","4632404H12Rik"
"15","5730414N17Rik"
"16","5930430L01Rik"
"17","6030443J06Rik"
"18","9130019O22Rik"
"19","9130023H24Rik"
"20","9330160F10Rik"
"21","A830011K09Rik"
"22","Abcb8"
"23","Aif1"
"24","Akr1c14"
"25","Alg1"
"26","Alg5"
"27","Ankrd49"
"28","Ano1"
"29","Apbb1ip"
"30","Arfgap2"
"31","Arl4a"
"32","Asxl3"
"33","Atraid"
"34","AU020206"
"35","B3galt4"
"36","B3galt6"
"37","B3gnt9"
"38","B4galnt4"
"39","B830017H08Rik"
"40","Bbc3"
"41","Bbs10"
"42","BC037032"
"43","Bend3"
"44","Bex1"
"45","Bid"
"46","Bloc1s5"
"47","Bmf"
"48","Bnip1"
"49","Bnip5"
"50","Brca2"
"51","C230012O17Rik"
"52","C2cd4c"
"53","C330018D20Rik"
"54","Car5b"
"55","Casp7"
"56","Cbr4"
"57","Ccdc103"
"58","Ccdc166"
"59","Ccdc87"
"60","Ccl28"
"61","Ccno"
"62","Ccnq"
"63","Cd180"
"64","Cd248"
"65","Cd33"
"66","Cep57"
"67","Cgref1"
"68","Chaf1a"
"69","Chmp1a"
"70","Chrac1"
"71","Clec14a"
"72","Clptm1l"
"73","Coa5"
"74","Col6a3"
"75","Crppa"
"76","Ctbs"
"77","Cwc22"
"78","Cyp2j6"
"79","Cyp4v3"
"80","D430020J02Rik"
"81","Dcaf4"
"82","Dctn6"
"83","Dennd10"
"84","Dera"
"85","Dph5"
"86","Dph6"
"87","Dtwd2"
"88","Dynlt2b"
"89","Dysf"
"90","Echs1"
"91","Eef2kmt"
"92","Efcab7"
"93","Ehhadh"
"94","Emc9"
"95","Endov"
"96","Etfb"
"97","Etfrf1"
"98","Exosc1"
"99","Fahd1"
"100","Fam136a"
"101","Fam151b"
"102","Fam214a"
"103","Fam219b"
"104","Fam241b"
"105","Fam3a"
"106","Fam83h"
"107","Fbln5"
"108","Fbxo16"
"109","Fbxo34"
"110","Fem1a"
"111","Fem1c"
"112","Flad1"
"113","Frat1"
"114","Fsbp"
"115","Fzd6"
"116","Gab2"
"117","Gatd1"
"118","Gid8"
"119","Gjc1"
"120","Gk5"
"121","Glce"
"122","Glyctk"
"123","Gm10461"
"124","Gm10524"
"125","Gm10790"
"126","Gm14964"
"127","Gm15688"
"128","Gm17251"
"129","Gm35558"
"130","Gm37233"
"131","Gm38391"
"132","Gm4221"
"133","Gm42984"
"134","Gm43254"
"135","Gm43672"
"136","Gm43848"
"137","Gm47079"
"138","Gm47204"
"139","Gm47863"
"140","Gm48226"
"141","Gm4876"
"142","Gm5617"
"143","Gm7072"
"144","Gm8098"
"145","Gm973"
"146","Gm9776"
"147","Gprin2"
"148","Gtf2h5"
"149","Gtpbp8"
"150","H1f0"
"151","H1f2"
"152","H2-Q4"
"153","H2bu1-ps"
"154","H3f3aos"
"155","H3f3b"
"156","Haus2"
"157","Heyl"
"158","Hgh1"
"159","Hint2"
"160","Hs3st1"
"161","Hscb"
"162","Hunk"
"163","Il17rc"
"164","Ino80dos"
"165","Inpp5d"
"166","Itgb3bp"
"167","Jrk"
"168","Kcnj2"
"169","Kcns2"
"170","Kctd15"
"171","Kdm6a"
"172","Krcc1"
"173","Lcmt2"
"174","Lcorl"
"175","Leprot"
"176","Lgals8"
"177","Lmcd1"
"178","Lpar6"
"179","Lrrc14"
"180","Lrrc40"
"181","Lrrc75b"
"182","Lrrc8d"
"183","Lrrcc1"
"184","Lyrm2"
"185","Lyrm9"
"186","Marchf7"
"187","Mboat1"
"188","Mcat"
"189","Mccc2"
"190","Mcm3"
"191","Mcrs1"
"192","Mdp1"
"193","Meaf6"
"194","Memo1"
"195","Mettl25"
