"","x"
"1","3110001I22Rik"
"2","Bbs7"
"3","Camk1"
"4","Ccdc137"
"5","Ccm2"
"6","Ccng2"
"7","Ccr5"
"8","Cdk2ap2"
"9","Cystm1"
"10","Ehmt2"
"11","Eml1"
"12","Fbxl19"
"13","Foxf2"
"14","Gas2l1"
"15","Gnpat"
"16","Gpam"
"17","H2ac15"
"18","Hacd1"
"19","Hbegf"
"20","Hmgcl"
"21","Ints4"
"22","Ivns1abp"
"23","Lmnb1"
"24","Mmp28"
"25","Ndufaf5"
"26","Nsun4"
"27","Pdcl3"
"28","Pkig"
"29","Ppp1cc"
"30","Ppp1r12c"
"31","Rab40c"
"32","Rabl6"
"33","Rnf166"
"34","Rxrb"
"35","Sall1"
"36","Sgk3"
"37","Sla"
"38","Slc4a1ap"
"39","Smad6"
"40","Speg"
"41","Spns1"
"42","Strn3"
"43","Taf4"
"44","Thsd1"
"45","Twnk"
"46","Zbtb21"
"47","Zdhhc18"
