"","x"
"1","Ankrd34c"
"2","Arhgap15"
"3","Arhgap42"
"4","Asph"
"5","Brinp1"
"6","C130074G19Rik"
"7","Cask"
"8","Cd34"
"9","Cdk19"
"10","Cdkl5"
"11","Cux1"
"12","Dhcr24"
"13","Diras2"
"14","Dock3"
"15","Eif4ebp1"
"16","Ext1"
"17","Fam131b"
"18","Gpr26"
"19","Gria4"
"20","Grm3"
"21","Hecw2"
"22","Kcnab3"
"23","Krt222"
"24","Larp1b"
"25","Lgi2"
"26","Lrrc4c"
"27","Macir"
"28","Mansc1"
"29","Mat2b"
"30","Osbp2"
"31","Pak5"
"32","Pamr1"
"33","Plxdc1"
"34","Ppfia3"
"35","Rassf3"
"36","Rgs7"
"37","Rnf126"
"38","Rnf208"
"39","Rragc"
"40","Septin6"
"41","Sestd1"
"42","Slitrk1"
"43","St3gal5"
"44","Sun1"
"45","Sytl2"
"46","Tmem132b"
"47","Ube2g1"
"48","Zfand5"
"49","Zfp367"
"50","Zfp668"
