"","x"
"1","4931428F04Rik"
"2","Adal"
"3","Capza1"
"4","Ccdc43"
"5","Cfap69"
"6","Cnih4"
"7","Cript"
"8","Crybb1"
"9","Cstf3"
"10","Emx2os"
"11","Fcgr3"
"12","Gpr108"
"13","Gpr4"
"14","Grb14"
"15","H2bc8"
"16","Hebp2"
"17","Ift122"
"18","Ift80"
"19","Lamtor5"
"20","Mrpl4"
"21","Paip2"
"22","Pdcl"
"23","Proser3"
"24","Psme3ip1"
"25","Rab28"
"26","Rer1"
"27","Rnaseh2c"
"28","Rxfp1"
"29","Saal1"
"30","Saysd1"
"31","Sec61a1"
"32","Serp1"
"33","Smarce1"
"34","St8sia6"
"35","Tgfb1i1"
"36","Tifab"
"37","Tmem126a"
"38","Tvp23b"
"39","Txlng"
"40","Zfp933"
"41","Zfp961"
