"","x"
"1","Acox3"
"2","Adck1"
"3","Akr1b3"
"4","Arhgef37"
"5","B230217O12Rik"
"6","Babam2"
"7","Bhlhe41"
"8","Brd2"
"9","Cacna2d4"
"10","Ccer2"
"11","Cdkl1"
"12","Ciart"
"13","Cwc27"
"14","Dbp"
"15","Degs2"
"16","Dlx1"
"17","Dpagt1"
"18","Dpp3"
"19","Eef2k"
"20","Epha8"
"21","Erg"
"22","Gm11613"
"23","Gm13446"
"24","Gm26982"
"25","Gm29367"
"26","Gm42549"
"27","Gm43398"
"28","Gm44033"
"29","Gpcpd1"
"30","Gpr61"
"31","Grhpr"
"32","Gstt1"
"33","Gucy2g"
"34","Hhipl1"
"35","Hsf4"
"36","Hspb6"
"37","Ica1"
"38","Igfn1"
"39","Inmt"
"40","Ints1"
"41","Ism1"
"42","Kansl2"
"43","Lamb3"
"44","Lig1"
"45","Lmna"
"46","Lsp1"
"47","Ly75"
"48","Map3k6"
"49","Mybpc3"
"50","Orc6"
"51","Osbpl2"
"52","Pip4p1"
"53","Pradc1"
"54","Prox2os"
"55","Prss12"
"56","Ptges2"
"57","Rbm3"
"58","Robo4"
"59","Rsad1"
"60","Rufy1"
"61","Selenoo"
"62","Shd"
"63","Slc37a4"
"64","Slc7a5"
"65","Slco1a4"
"66","Tacc3"
"67","Tesk2"
"68","Tfe3"
"69","Tkfc"
"70","Tlcd1"
"71","Tmem204"
"72","Tmem232"
"73","Tmem251"
"74","Tmem268"
"75","Trub1"
"76","Washc1"
"77","Zfp637"
