"","x"
"1","2410004B18Rik"
"2","4833439L19Rik"
"3","Aagab"
"4","Abca9"
"5","Abce1"
"6","Abhd6"
"7","Acot5"
"8","Add2"
"9","Adipor1"
"10","Ago2"
"11","Agpat4"
"12","Ak4"
"13","Arhgap31"
"14","Arhgef7"
"15","Atg12"
"16","BC024063"
"17","Bicd2"
"18","Brd3"
"19","Calr"
"20","Caprin1"
"21","Cbfa2t3"
"22","Cbln4"
"23","Cbx1"
"24","Ccar1"
"25","Cct4"
"26","Cers6"
"27","Cggbp1"
"28","Chordc1"
"29","Chst10"
"30","Cnih1"
"31","Crk"
"32","Csnk1d"
"33","D630045J12Rik"
"34","Dap3"
"35","Dbr1"
"36","Ddx19a"
"37","Dhx29"
"38","Dnaja1"
"39","Dnaja4"
"40","Dnajb11"
"41","Dnajc3"
"42","Dr1"
"43","Dusp19"
"44","Dusp4"
"45","Ebna1bp2"
"46","Eif4ebp2"
"47","Elavl3"
"48","Emb"
"49","Emc6"
"50","Enc1"
"51","Erc1"
"52","Eri2"
"53","Fbxo10"
"54","Fxr1"
"55","G3bp1"
"56","Gabpa"
"57","Galnt9"
"58","Gas1"
"59","Gmeb2"
"60","Gnptab"
"61","Gpr17"
"62","Gpr68"
"63","Gskip"
"64","Hacd3"
"65","Hipk1"
"66","Hsp90ab1"
"67","Hsp90b1"
"68","Hspa13"
"69","Hspa1a"
"70","Hspa1b"
"71","Hspa5"
"72","Hspa8"
"73","Hspb1"
"74","Hsph1"
"75","Hyou1"
"76","Ibtk"
"77","Ift74"
"78","Ints3"
"79","Ints8"
"80","Ipmk"
"81","Ipo8"
"82","Irs2"
"83","Itch"
"84","Itsn1"
"85","Jagn1"
"86","Kdm5c"
"87","Klf3"
"88","Klhl3"
"89","Klhl8"
"90","Kpna6"
"91","Ldb2"
"92","Lratd1"
"93","Ltv1"
"94","Macroh2a2"
"95","Mamld1"
"96","Mapre2"
"97","Mast3"
"98","Med1"
"99","Mettl16"
"100","Mfap3"
"101","Mkks"
"102","Mlec"
"103","Mllt1"
"104","Mmp24"
"105","Mon2"
"106","Mpdz"
"107","Mpp2"
"108","Mrpl1"
"109","Mrps6"
"110","Msl1"
"111","Mtmr1"
"112","Mtrr"
"113","Myadm"
"114","Myh9"
"115","N4bp1"
"116","Ncoa5"
"117","Ncoa7"
"118","Ncor2"
"119","Ndufb2"
"120","Nectin1"
"121","Nek4"
"122","Nptx1"
"123","Nr4a3"
"124","Nsd3"
"125","Nsfl1c"
"126","Ntrk2"
"127","Ogfod1"
"128","Ormdl2"
"129","Otub2"
"130","Parg"
"131","Pcdh1"
"132","Pdcd11"
"133","Pdia3"
"134","Pdia4"
"135","Pdia6"
"136","Phb"
"137","Pim2"
"138","Pip4k2b"
"139","Pitpnm2"
"140","Pja1"
"141","Pknox1"
"142","Ppid"
"143","Ppm1h"
"144","Ppp2r5a"
"145","Prr14l"
"146","Psmd5"
"147","Ptpn9"
"148","Rap1b"
"149","Rapgef2"
"150","Rbfox2"
"151","Rbl2"
"152","Rhbdf2"
"153","Ripor1"
"154","Rmdn3"
"155","Rnf165"
"156","Rngtt"
"157","Rnpep"
"158","Rpn1"
"159","Rprd2"
"160","Samd4b"
"161","Sec23ip"
"162","Selplg"
"163","Senp6"
"164","Serinc2"
"165","Sf1"
"166","Sgsm1"
"167","Shank2"
"168","Siah3"
"169","Sirt1"
"170","Slc1a1"
"171","Slc5a3"
"172","Smad3"
"173","Smarca2"
"174","Smarca4"
"175","Smc2"
"176","Snph"
"177","Snx16"
"178","Soat1"
"179","Socs7"
"180","Spast"
"181","Specc1"
"182","Sptlc1"
"183","Srgap3"
"184","Stip1"
"185","Stk4"
"186","Stox2"
"187","Stt3b"
"188","Synj2"
"189","Tax1bp1"
"190","Tgoln1"
"191","Timp3"
"192","Tmcc1"
"193","Tmed2"
"194","Tmed8"
"195","Tmem119"
"196","Tmem151b"
"197","Tmem185a"
"198","Tmem230"
"199","Tnfrsf1b"
"200","Tnfrsf21"
"201","Tnr"
"202","Tpm4"
"203","Traf3"
"204","Trappc13"
"205","Trappc8"
"206","Trim9"
"207","Tspan13"
"208","Ttll12"
"209","Txnl4a"
"210","Uba3"
"211","Ubash3b"
"212","Ube2q1"
"213","Ubxn2b"
"214","Uso1"
"215","Usp19"
"216","Usp27x"
"217","Usp45"
"218","Vps36"
"219","Wasl"
"220","Wdcp"
"221","Wdr36"
"222","Wdr82"
"223","Wdtc1"
"224","Xpo1"
"225","Yipf3"
"226","Ythdc1"
"227","Ythdf2"
"228","Zbtb33"
"229","Zfp236"
"230","Zfp369"
"231","Zfp638"
"232","Zfp715"
"233","Zfp72"
"234","Zfp955b"
"235","Zhx3"
"236","Zmpste24"
