"","x"
"1","1110018N20Rik"
"2","1700016K19Rik"
"3","1700120C14Rik"
"4","2310057M21Rik"
"5","4930412C18Rik"
"6","6330409D20Rik"
"7","9030407P20Rik"
"8","9130017K11Rik"
"9","9130024F11Rik"
"10","9330179D12Rik"
"11","A330074K22Rik"
"12","A330084C13Rik"
"13","A830082K12Rik"
"14","A930037H05Rik"
"15","AB041806"
"16","Abhd16a"
"17","Acat2"
"18","Acta1"
"19","Acvr1b"
"20","Adgrf5"
"21","Adssl1"
"22","Aga"
"23","Ammecr1"
"24","Amn"
"25","Anapc7"
"26","Angel1"
"27","Angptl2"
"28","Ano10"
"29","Apcdd1"
"30","Armcx5"
"31","Arpin"
"32","Asb13"
"33","Aspscr1"
"34","Atpaf1"
"35","Bace2"
"36","Bcl7a"
"37","Bdh1"
"38","Bend5"
"39","Blmh"
"40","Bmx"
"41","Bmyc"
"42","Borcs7"
"43","Bri3"
"44","Brme1"
"45","Btbd6"
"46","Btf3l4"
"47","C030006K11Rik"
"48","C730002L08Rik"
"49","Casp3"
"50","Casp9"
"51","Cavin4"
"52","Ccdc80"
"53","Ccs"
"54","Cdk5rap3"
"55","Cdt1"
"56","Cenpb"
"57","Cers5"
"58","Chadl"
"59","Chmp6"
"60","Cip2a"
"61","Cirbp"
"62","Clgn"
"63","Cmc1"
"64","Coq9"
"65","Cox15"
"66","Cspg5"
"67","Ctc1"
"68","Ctsk"
"69","D130017N08Rik"
"70","Dact2"
"71","Daglb"
"72","Ddx46"
"73","Ddx49"
"74","Denr"
"75","Dhodh"
"76","Dis3l2"
"77","Dnajc11"
"78","Dnajc27"
"79","Dnajc30"
"80","Dnph1"
"81","Dock7"
"82","Dok7"
"83","Dsn1"
"84","Dusp26"
"85","Edn3"
"86","Eif2b3"
"87","Elac1"
"88","Eml2"
"89","Emx1"
"90","Epb41l5"
"91","Ephb6"
"92","Epm2a"
"93","Ercc5"
"94","Erlec1"
"95","Eva1a"
"96","Exoc2"
"97","Fam76a"
"98","Fancm"
"99","Fap"
"100","Fbxl4"
"101","Fbxo17"
"102","Fgf22"
"103","Fggy"
"104","Fhl2"
"105","Fkrp"
"106","Fn3krp"
"107","Foxred2"
"108","Frat2"
"109","Fundc2"
"110","Fzd10"
"111","Fzd10os"
"112","Galk1"
"113","Galnt15"
"114","Gfra4"
"115","Glod4"
"116","Gm10432"
"117","Gm10602"
"118","Gm11762"
"119","Gm13629"
"120","Gm15853"
"121","Gm15912"
"122","Gm16001"
"123","Gm17276"
"124","Gm17891"
"125","Gm2464"
"126","Gm26684"
"127","Gm3510"
"128","Gm35823"
"129","Gm4204"
"130","Gm42528"
"131","Gm4430"
"132","Gm44509"
"133","Gm44950"
"134","Gm45447"
"135","Gm46633"
"136","Gm47163"
"137","Gm49300"
"138","Gm49937"
"139","Gm5468"
"140","Gpr135"
"141","Gpr146"
"142","Gpr25"
"143","Gsdme"
"144","H1f1"
"145","Haus1"
"146","Hcn2"
"147","Heg1"
"148","Henmt1"
"149","Hhatl"
"150","Hip1r"
"151","Hjv"
"152","Hmgcs1"
"153","Hnmt"
"154","Htatip2"
"155","Hyi"
"156","Id2"
"157","Idi1"
"158","Ifit2"
