"","x"
"1","Acot8"
"2","Alg8"
"3","Anxa3"
"4","Arid5a"
"5","Arrb2"
"6","Bag2"
"7","Cars2"
"8","Cdadc1"
"9","Cdc23"
"10","Cnpy4"
"11","Cops7b"
"12","Dbt"
"13","Dda1"
"14","Derl2"
"15","Dnajc1"
"16","Dnajc25"
"17","Ern1"
"18","Fkbp5"
"19","Hk2"
"20","Ikzf4"
"21","Ilk"
"22","Lrch1"
"23","Lrch3"
"24","Lrif1"
"25","Map4k5"
"26","Mc4r"
"27","Mcmbp"
"28","Mllt3"
"29","Mlx"
"30","Mtrf1l"
"31","Naa35"
"32","Ndst3"
"33","Nudt7"
"34","Pkd2"
"35","Plch2"
"36","Ppil4"
"37","Ppt2"
"38","Prkag2"
"39","Prkx"
"40","Ralgds"
"41","Sdf2"
"42","Six5"
"43","Slc41a1"
"44","Spef1"
"45","Spice1"
"46","Spindoc"
"47","Srsf3"
"48","Ss18"
"49","Swt1"
"50","Syt14"
"51","Tdp1"
"52","Tex261"
"53","Tinagl1"
"54","Tmem87a"
"55","Traf4"
"56","Tubd1"
"57","Usf1"
"58","Zfp36l2"
