"","x"
"1","AA387883"
"2","Adam1a"
"3","Amn1"
"4","Casq2"
"5","Ccdc66"
"6","Dgcr8"
"7","Dnajc7"
"8","Dync2i1"
"9","E430024I08Rik"
"10","Emg1"
"11","Etv4"
"12","Exosc10"
"13","Gabpb1"
"14","Gm16386"
"15","Gm24339"
"16","Hnrnph1"
"17","Hnrnpm"
"18","Mdm1"
"19","Mro"
"20","Myef2"
"21","Pck2"
"22","Plekhg4"
"23","Polb"
"24","Ppp6r1"
"25","Rbm28"
"26","Rhot2"
"27","Rpusd4"
"28","Samd9l"
"29","Senp3"
"30","Snapc3"
"31","Sptbn4"
"32","Stk36"
"33","Synpo2"
"34","Tmem260"
"35","Tsen2"
"36","Ttc4"
"37","Utp11"
"38","Zbtb26"
"39","Zfc3h1"
"40","Zfp521"
