"","x"
"1","1700016P03Rik"
"2","Aldh18a1"
"3","Ankrd37"
"4","Arid3b"
"5","Arid4b"
"6","Arl4d"
"7","Atp10a"
"8","Axin2"
"9","Ccn1"
"10","Ccn4"
"11","Cdc42se1"
"12","Cdr2l"
"13","Cebpg"
"14","Chd1"
"15","Csrnp1"
"16","Csrnp2"
"17","Cyp51"
"18","Dcp1a"
"19","Dedd2"
"20","Dusp1"
"21","Flcn"
"22","Ftsj3"
"23","G2e3"
"24","Gm47075"
"25","Gm47088"
"26","Hic1"
"27","Ier2"
"28","Ier5l"
"29","Insm1"
"30","Itpkc"
"31","Junb"
"32","Klhl21"
"33","Lpin1"
"34","Lrrfip2"
"35","Maml1"
"36","Map2k3"
"37","Map3k14"
"38","Mcl1"
"39","Mir212"
"40","Npas4"
"41","Pcf11"
"42","Per1"
"43","Pkn2"
"44","Rita1"
"45","Sec24a"
"46","Sertad1"
"47","Siah2"
"48","Smug1"
"49","Sox8"
"50","Sstr2"
"51","Vps37b"
"52","Xkr7"
"53","Ybx3"
"54","Zbtb8b"
"55","Zfp658"
"56","Zfp7"
"57","Zfp948"
"58","Zfp954"
"59","Zscan21"
