"","x"
"1","Aass"
"2","Actr6"
"3","Afap1l2"
"4","Alg11"
"5","Aph1b"
"6","Arhgef19"
"7","Bloc1s4"
"8","Bmi1"
"9","Bsg"
"10","Chchd3"
"11","Clns1a"
"12","Derl1"
"13","Dock5"
"14","Eef1e1"
"15","Gm5124"
"16","Golm1"
"17","Gramd3"
"18","Grn"
"19","H2az2"
"20","Hadha"
"21","Hat1"
"22","Hsdl2"
"23","Ip6k1"
"24","Kars"
"25","Lrrn1"
"26","Lsm12"
"27","M6pr"
"28","Magt1"
"29","Mon1b"
"30","Mpv17"
"31","Mpzl1"
"32","Mrps17"
"33","Mrrf"
"34","Phf2"
"35","Pkp2"
"36","Ppp1r13b"
"37","Psmd8"
"38","Ret"
"39","Rgs19"
"40","Rp2"
"41","Rxra"
"42","Senp8"
"43","Serpinb6a"
"44","Sfr1"
"45","Snta1"
"46","Spcs2"
"47","Ssrp1"
"48","Sumo1"
"49","Szrd1"
"50","Tdrkh"
"51","Thbd"
"52","Tmem50b"
"53","Tmem59"
"54","Tns3"
"55","Tor4a"
"56","Tspan31"
"57","Twf1"
"58","Ubac2"
"59","Ube2b"
"60","Umps"
"61","Wasf3"
"62","Zfp931"
