"","x"
"1","0610009B22Rik"
"2","1110002L01Rik"
"3","2010204K13Rik"
"4","2310033P09Rik"
"5","2900052N01Rik"
"6","2900079G21Rik"
"7","4833422C13Rik"
"8","4933412O06Rik"
"9","6530402F18Rik"
"10","6530403H02Rik"
"11","9930014A18Rik"
"12","A930007A09Rik"
"13","Aamdc"
"14","Abca8a"
"15","Abhd17c"
"16","Acadm"
"17","Acot1"
"18","Acot2"
"19","Acot4"
"20","Acsf2"
"21","Actb"
"22","Actr3"
"23","Adgre1"
"24","Agfg2"
"25","Ago4"
"26","Agpat1"
"27","AI197445"
"28","Aldh1b1"
"29","Amotl1"
"30","Angpt1"
"31","Ankfy1"
"32","Ankrd63"
"33","Anks1b"
"34","Ap1s2"
"35","Ap3b1"
"36","Apaf1"
"37","Apex1"
"38","Arhgdia"
"39","Arhgef28"
"40","Arl10"
"41","Arl14ep"
"42","Arl15"
"43","Armcx6"
"44","Arpc2"
"45","Arrdc4"
"46","Asb18"
"47","Ash2l"
"48","Asl"
"49","Asnsd1"
"50","Atf6b"
"51","Atp6v1c2"
"52","AW146154"
"53","AW551984"
"54","B130055M24Rik"
"55","B230303A05Rik"
"56","B3galt5"
"57","B3gat1"
"58","B3gat2"
"59","Bbs12"
"60","BC030500"
"61","BC064078"
"62","Bcl11b"
"63","Bcr"
"64","Bend4"
"65","Bend7"
"66","Bex3"
"67","Bex4"
"68","Btg3"
"69","Bves"
"70","C130073E24Rik"
"71","C1d"
"72","C1qc"
"73","C1ql1"
"74","C330011M18Rik"
"75","Cacna1h"
"76","Cacnb2"
"77","Cacng5"
"78","Cacng8"
"79","Calb2"
"80","Calcrl"
"81","Caln1"
"82","Caly"
"83","Camk2b"
"84","Camkv"
"85","Cap1"
"86","Car12"
"87","Card6"
"88","Ccdc106"
"89","Ccdc112"
"90","Ccdc122"
"91","Ccdc190"
"92","Ccdc3"
"93","Ccdc34"
"94","Ccdc40"
"95","Ccdc71"
"96","Ccdc88c"
"97","Ccn3"
"98","Ccnjl"
"99","Cd24a"
"100","Cd36"
"101","Cd44"
"102","Cd86"
"103","Cdc16"
"104","Cdc42bpg"
"105","Cdh8"
"106","Cdh9"
"107","Cdhr1"
"108","Cecr2"
"109","Celf5"
"110","Cenpe"
"111","Cenpf"
"112","Cflar"
"113","Chrm5"
"114","Chrnb4"
"115","Chst11"
"116","Chst15"
"117","Chst3"
"118","Chst9"
"119","Clic1"
"120","Clip4"
"121","Cmbl"
"122","Cnih2"
"123","Cnnm3"
"124","Cnr1"
"125","Cntnap5b"
"126","Cntnap5c"
"127","Cog1"
"128","Col3a1"
"129","Col4a1"
"130","Cotl1"
"131","Cplx2"
"132","Cpne4"
"133","Cpne6"
"134","Cpne7"
"135","Cpt1c"
"136","Cracdl"
"137","Crb1"
"138","Crls1"
"139","Crym"
"140","Cryz"
"141","Cryzl2"
"142","Csf1r"
"143","Ctss"
"144","Cttnbp2"
"145","Ctxn2"
"146","Cx3cr1"
"147","Cyba"
"148","Cybrd1"
"149","Cyp26b1"
"150","D2hgdh"
"151","D430019H16Rik"
"152","D430036J16Rik"
"153","Dap"
"154","Dapp1"
"155","Dbn1"
"156","Dcc"
"157","Dchs2"
"158","Dclk2"
"159","Ddah1"
"160","Ddn"
"161","Ddost"
"162","Dgkb"
"163","Dgkg"
"164","Dgkk"
"165","Dhx32"
"166","Dhx40"
"167","Dlg5"
"168","Dlk1"
"169","Dll1"
"170","Dlx6os1"
"171","Dnah7a"
"172","Dnai4"
"173","Dnajb3"
"174","Dnal4"
"175","Doc2b"
"176","Dock10"
"177","Dock11"
"178","Dock4"
"179","Dpf3"
"180","Dpp6"
"181","Dpy19l3"
"182","Dpyd"
"183","Dram2"
"184","Drc1"
"185","Drd5"
"186","Dsc3"
"187","Dsel"
"188","E030013I19Rik"
"189","E130008D07Rik"
"190","Ears2"
"191","Ech1"
"192","Eef1a1"
"193","Efcab1"
"194","Egfem1"
"195","Ehd1"
"196","Elk1"
"197","Elovl2"
"198","Enox2"
"199","Entpd1"
"200","Entpd6"
"201","Eomes"
"202","Epha3"
"203","Epha5"
"204","Epha6"
"205","Epha7"
"206","Erc2"
"207","Ercc6l2"
"208","Erg28"
"209","Ergic3"
"210","Esr1"
"211","Etfdh"
"212","Eya1"
"213","F730043M19Rik"
"214","Fam102b"
"215","Fam118a"
"216","Fam162a"
"217","Fam163a"
"218","Fancl"
"219","Fbn2"
"220","Fbxl12os"
"221","Fbxl7"
