"","x"
"1","3632454L22Rik"
"2","Aldh3a2"
"3","Apip"
"4","Arhgap24"
"5","Arl6"
"6","Arpc5"
"7","Arsk"
"8","Bbs1"
"9","Btd"
"10","C1qa"
"11","C230034O21Rik"
"12","Calhm5"
"13","Capns1"
"14","Cc2d1a"
"15","Ccnd1"
"16","Ccnh"
"17","Cct3"
"18","Cd53"
"19","Celf6"
"20","Cemip2"
"21","Cfap91"
"22","Cldn5"
"23","Cr1l"
"24","Crispld1"
"25","Csdc2"
"26","Dab1"
"27","Dctn5"
"28","Dio3"
"29","Disp3"
"30","Dscaml1"
"31","Dusp18"
"32","Dynll1"
"33","Ehd2"
"34","Eif3b"
"35","Enox1"
"36","Eola1"
"37","Faf2"
"38","Fam120b"
"39","Fam126a"
"40","Fam13c"
"41","Fastkd2"
"42","Fbxo4"
"43","Fgd1"
"44","Gabra2"
"45","Gal3st3"
"46","Gga1"
"47","Gm44644"
"48","Gm8355"
"49","Gmfb"
"50","Gpatch11"
"51","Gyg"
"52","H13"
"53","H2aj"
"54","Hexa"
"55","Hltf"
"56","Hnrnpc"
"57","Hspe1"
"58","Itga11"
"59","Itga8"
"60","Kcng1"
"61","Kctd10"
"62","Kdm2b"
"63","Kdr"
"64","Lins1"
"65","Lix1"
"66","Lman2"
"67","Lman2l"
"68","Lrrtm1"
"69","Lsr"
"70","Map3k1"
"71","Map3k19"
"72","Matn2"
"73","Meak7"
"74","Mettl23"
"75","Mettl4"
"76","Mpzl3"
"77","Mrpl21"
"78","Mrpl50"
"79","Mrps25"
"80","Ngb"
"81","Ngf"
"82","Nkap"
"83","Nono"
"84","Nphp1"
"85","Nr2e1"
"86","Nrip2"
"87","Nt5c1a"
"88","Otud6b"
"89","Palmd"
"90","Pbx2"
"91","Pgap3"
"92","Phf10"
"93","Phf21a"
"94","Phka1"
"95","Pisd-ps2"
"96","Plcb3"
"97","Plpp6"
"98","Plppr2"
"99","Poglut1"
"100","Prmt2"
"101","Ptpru"
"102","Pxdc1"
"103","Rab11fip1"
"104","Rab39"
"105","Rasl10a"
"106","Raver2"
"107","Rbm14"
"108","Rgl1"
"109","Rhoj"
"110","Riok2"
"111","Rnf32"
"112","Rpl13a"
"113","Rprd1a"
"114","Rsph3b"
"115","Rspry1"
"116","Rtl4"
"117","Rybp"
"118","Ryk"
"119","Sec14l2"
"120","Serpinb9"
"121","Serpinh1"
"122","Sfmbt2"
"123","Shisa6"
"124","Sin3b"
"125","Sipa1l3"
"126","Slc18b1"
"127","Slc25a38"
"128","Slco3a1"
"129","Smad5"
"130","Smoc2"
"131","Smurf2"
"132","Snrpa"
"133","Sox2"
"134","Sphk2"
"135","Srbd1"
"136","Srp19"
"137","St7"
"138","Stat3"
"139","Sting1"
"140","Stk16"
"141","Syap1"
"142","Sypl2"
"143","Taf15"
"144","Taok3"
"145","Tmem100"
"146","Tmem150c"
"147","Tmem170"
"148","Tmem183a"
"149","Tmem28"
"150","Tmem39b"
"151","Tpm3"
"152","Triobp"
"153","Trir"
"154","Trp53i11"
"155","Tsga10"
"156","Ttc30a1"
"157","Ubxn4"
"158","Uhrf2"
"159","Usp21"
"160","Vbp1"
"161","Wdr41"
"162","Xkr8"
"163","Yipf6"
"164","Zap70"
"165","Zfand3"
"166","Zfp317"
"167","Zfp449"
"168","Zfp78"
"169","Zim1"
