"","x"
"1","3110053B16Rik"
"2","5930438M14Rik"
"3","9430037G07Rik"
"4","AI854703"
"5","AW495222"
"6","Azin2"
"7","Cdsn"
"8","Crhr1"
"9","Dmp1"
"10","Dph3"
"11","Dusp28"
"12","Fkbp3"
"13","Galt"
"14","Glmn"
"15","Gls2"
"16","Gm13306"
"17","Gm2830"
"18","Gm29674"
"19","Gm30648"
"20","Hsbp1l1"
"21","Ifrd1"
"22","Kcnq4"
"23","Kcnu1"
"24","Kifc2"
"25","Lypd6b"
"26","Medag"
"27","Mpc1"
"28","Mrpl58"
"29","Myl6b"
"30","Npc1l1"
"31","Plcd3"
"32","Poglut3"
"33","Sh2d4b"
"34","Sigmar1"
"35","Slc25a18"
"36","Spg7"
"37","Taf13"
"38","Tango2"
"39","Tle6"
"40","Tmem250-ps"
"41","Vcpkmt"
"42","Vstm5"
"43","Zkscan17"
"44","Znhit3"
