"","x"
"1","9130221H12Rik"
"2","Abl1"
"3","Ammecr1l"
"4","Amotl2"
"5","Apold1"
"6","B4galt3"
"7","Btg2"
"8","Capn10"
"9","Cbx2"
"10","Ccdc8"
"11","Clcn7"
"12","Ddx31"
"13","Edc4"
"14","Etv3"
"15","Evi5l"
"16","Fbxl20"
"17","Fhdc1"
"18","Flt3"
"19","Gadd45b"
"20","Gxylt1"
"21","Hdx"
"22","Hes1"
"23","Hey2"
"24","Hs3st3b1"
"25","Ift140"
"26","Ints6"
"27","Intu"
"28","Katna1"
"29","Kiss1r"
"30","Klhdc8b"
"31","Lactb"
"32","Lmnb2"
"33","Lrrk1"
"34","Ltbp4"
"35","Man2b1"
"36","Mtmr14"
"37","Naa16"
"38","Nup54"
"39","Pdgfb"
"40","Pheta1"
"41","Polh"
"42","Ppfibp1"
"43","Ptch2"
"44","Ralgps1"
"45","Rdh13"
"46","Rilpl2"
"47","Sema4c"
"48","Sgpl1"
"49","Sh2b3"
"50","Slc35d1"
"51","Slc6a7"
"52","Socs3"
"53","Sox13"
"54","Spire2"
"55","Spring1"
"56","Stimate"
"57","Svil"
"58","Ticam1"
"59","Tmod3"
"60","Tnrc6c"
"61","Traf3ip1"
"62","Trp53inp1"
"63","Wdr46"
"64","Xpo6"
"65","Zc3h10"
"66","Zc3h18"
"67","Zfp235"
"68","Zfp568"
"69","Zic3"
"70","Zscan20"
