"","x"
"1","AA414768"
"2","Aar2"
"3","Aasdhppt"
"4","Abi1"
"5","Acadsb"
"6","Actr2"
"7","Adamts15"
"8","Adamts8"
"9","Agps"
"10","AI597479"
"11","Anapc2"
"12","Ankrd46"
"13","Anp32a"
"14","Ap3s1"
"15","Appl1"
"16","Arf1"
"17","Armc10"
"18","Arpc4"
"19","Atic"
"20","Atxn10"
"21","Atxn7l3b"
"22","B3galt2"
"23","Brcc3"
"24","Calu"
"25","Capn5"
"26","Capza2"
"27","Capzb"
"28","Cbx5"
"29","Chst12"
"30","Ckap4"
"31","Clpx"
"32","Cops2"
"33","Cops4"
"34","Cops8"
"35","Cpe"
"36","Cpne3"
"37","Cpne8"
"38","Crbn"
"39","Cul2"
"40","Cul4b"
"41","Cyb5b"
"42","Cyfip1"
"43","Dctn4"
"44","Degs1"
"45","Dnajc18"
"46","Dstn"
"47","Eif1a"
"48","Eif3i"
"49","Eif4a3"
"50","Enoph1"
"51","Eri3"
"52","Fam155a"
"53","Fam210a"
"54","Fam8a1"
"55","Fgf2"
"56","Filip1l"
"57","Folh1"
"58","Foxj3"
"59","G3bp2"
"60","Galnt17"
"61","Gfod2"
"62","Gm30371"
"63","Gm6563"
"64","Gng2"
"65","Gorab"
"66","Gorasp2"
"67","Gpbp1"
"68","Gpr176"
"69","Grp"
"70","Gtf2f2"
"71","Hmox2"
"72","Htr3a"
"73","Ier3ip1"
"74","Itm2b"
"75","Kbtbd4"
"76","Lgi1"
"77","Lims1"
"78","Med19"
"79","Miga1"
"80","Mindy3"
"81","Mmd"
"82","Mpp5"
"83","Mrpl45"
"84","Mrps14"
"85","Mtap"
"86","Mturn"
"87","Naa30"
"88","Nampt"
"89","Ndn"
"90","Necap1"
"91","Nif3l1"
"92","Npm1"
"93","Olfm1"
"94","Ostm1"
"95","Pa2g4"
"96","Pafah1b3"
"97","Pdhb"
"98","Pdk3"
"99","Pebp1"
"100","Pfkl"
"101","Pkp4"
"102","Plxna4"
"103","Ppp1cb"
"104","Pqbp1"
"105","Psmb3"
"106","Puf60"
"107","Rab39b"
"108","Rabgap1l"
"109","Rbbp9"
"110","Rdh14"
"111","Rfk"
"112","Rfxap"
"113","Rhoa"
"114","Rmdn2"
"115","Rnf139"
"116","Rnf167"
"117","Rnf2"
"118","Rpa1"
"119","Rraga"
"120","Rragb"
"121","Rsl1d1"
"122","Rtraf"
"123","Sap18"
"124","Sar1a"
"125","Scoc"
"126","Sdcbp"
"127","Seh1l"
"128","Selenot"
"129","Sema3e"
"130","Sema5a"
"131","Sertm1"
"132","Slc24a3"
"133","Slc35a2"
"134","Smg8"
"135","Sms"
"136","Snx12"
"137","Snx2"
"138","Snx6"
"139","Sphkap"
"140","Sprn"
"141","Srek1ip1"
"142","Srprb"
"143","Strap"
"144","Stx12"
"145","Stxbp6"
"146","Sub1"
"147","Sumo2"
"148","Suz12"
"149","Tafa1"
"150","Tceal1"
"151","Tex2"
"152","Thnsl1"
"153","Tiprl"
"154","Tmco1"
"155","Tmed10"
"156","Tmed5"
"157","Tmem106b"
"158","Tmem9b"
"159","Tmtc4"
"160","Tmx1"
"161","Tomm34"
"162","Tor1a"
"163","Tpgs2"
"164","Trim2"
"165","Trmt10b"
"166","Tusc1"
"167","Txnl1"
"168","Ube2d2a"
"169","Ube2d3"
"170","Usp1"
"171","Vps26b"
"172","Vwc2l"
"173","Wdr1"
"174","Ywhaq"
"175","Zeb2"
"176","Zfp512"
"177","Zfp605"
"178","Zfp712"
"179","Zfp763"
"180","Zfp81"
"181","Znrf2"
