"","x"
"1","1700001L19Rik"
"2","1700014D04Rik"
"3","1700086L19Rik"
"4","9530080O11Rik"
"5","Abl2"
"6","Actn1"
"7","Adcy3"
"8","Adra2c"
"9","Afdn"
"10","Aff3"
"11","Aff4"
"12","Agap2"
"13","Agap3"
"14","Ahdc1"
"15","Amot"
"16","Ampd2"
"17","Ankrd6"
"18","Ap2b1"
"19","Ap3d1"
"20","Armc9"
"21","Arntl"
"22","Ascc3"
"23","Atm"
"24","Auts2"
"25","Azi2"
"26","Bace1"
"27","Bahd1"
"28","Baiap2"
"29","Bbx"
"30","Bcl9l"
"31","Bhlhb9"
"32","Bicra"
"33","Brwd3"
"34","Btg1"
"35","C1galt1"
"36","Casr"
"37","Cbl"
"38","Cd93"
"39","Chst1"
"40","Chsy1"
"41","Clmp"
"42","Clpb"
"43","Cmas"
"44","Cnot6"
"45","Coro1c"
"46","Crtc1"
"47","Csnk1g1"
"48","Ctnnb1"
"49","Dapk1"
"50","Dbpht2"
"51","Diaph1"
"52","Dnal1"
"53","Dok4"
"54","Dstyk"
"55","Dubr"
"56","Eif4a1"
"57","Esyt2"
"58","Fam120a"
"59","Fam120c"
"60","Fam171a1"
"61","Fndc3b"
"62","Foxg1"
"63","Foxo6"
"64","Fpgt"
"65","Ganab"
"66","Gmds"
"67","Gorasp1"
"68","Gpr155"
"69","Gpr27"
"70","Grm1"
"71","Gspt2"
"72","H2aw"
"73","Hdac2"
"74","Hpcal4"
"75","Htr1b"
"76","Il34"
"77","Insyn1"
"78","Kcnn3"
"79","Kcnq2"
"80","Kmt5b"
"81","Lats1"
"82","Lonp2"
"83","Mapk1ip1l"
"84","Mcfd2"
"85","Mfsd8"
"86","Mgat4a"
"87","Morn4"
"88","Mpp6"
"89","Nat14"
"90","Nav1"
"91","Nedd4"
"92","Nedd9"
"93","Nek3"
"94","Nf2"
"95","Nfya"
"96","Nhsl2"
"97","Nol4l"
"98","Nr2f6"
"99","Nup205"
"100","Nus1"
"101","Nynrin"
"102","P4hb"
"103","Pak2"
"104","Papolg"
"105","Pcdh17"
"106","Pcdh18"
"107","Pdgfc"
"108","Pds5b"
"109","Peli1"
"110","Phax"
"111","Phf6"
"112","Pid1"
"113","Plppr5"
"114","Plxnc1"
"115","Pnmal2"
"116","Pnrc1"
"117","Pogz"
"118","Poldip3"
"119","Polr1a"
"120","Ppp1r12b"
"121","Ppp2r5d"
"122","Prkcg"
"123","Prkg1"
"124","Ptbp3"
"125","Rai1"
"126","Rc3h2"
"127","Rhbdl3"
"128","Ripor2"
"129","Rps6ka2"
"130","Rrp7a"
"131","Rwdd1"
"132","Sall2"
"133","Samd12"
"134","Scn3a"
"135","Sdc2"
"136","Sec11a"
"137","Sec16a"
"138","Setd1b"
"139","Shisa9"
"140","Ski"
"141","Slc25a24"
"142","Slc39a3"
"143","Slc7a14"
"144","Slit1"
"145","Slit3"
"146","Slitrk6"
"147","Slx4ip"
"148","Snx27"
"149","Sox4"
"150","Sp3"
"151","Ssh1"
"152","Sulf1"
"153","Sybu"
"154","Syngr3"
"155","Tab2"
"156","Tamalin"
"157","Tcaf1"
"158","Tdrd7"
"159","Thoc2"
"160","Tll1"
"161","Tmem158"
"162","Tnrc18"
"163","Tro"
"164","U2af2"
"165","Uck1"
"166","Wnt2"
"167","Wnt7a"
"168","Ylpm1"
"169","Zbtb41"
"170","Zdbf2"
"171","Zdhhc14"
"172","Zfp213"
"173","Zfp319"
"174","Zfp462"
"175","Zfp560"
"176","Zfp831"
"177","Zfp846"
"178","Zfp92"
"179","Zfp955a"
