"","x"
"1","Abcf3"
"2","Adcy6"
"3","Alkbh5"
"4","Ankrd27"
"5","Ankrd52"
"6","Arc"
"7","Arhgef4"
"8","Arid4a"
"9","Atp5g1"
"10","B4galnt1"
"11","Banp"
"12","Baz2a"
"13","Bcor"
"14","Bcorl1"
"15","Bhlhe40"
"16","Bms1"
"17","Brpf1"
"18","Calhm2"
"19","Caskin2"
"20","Casp8ap2"
"21","Ccdc117"
"22","Ccdc93"
"23","Ccn2"
"24","Ccnd2"
"25","Cdc37l1"
"26","Cep104"
"27","Cep162"
"28","Cep78"
"29","Cish"
"30","Clp1"
"31","Crkl"
"32","Cry1"
"33","Cry2"
"34","Cthrc1"
"35","Cuta"
"36","Dact1"
"37","Dcaf12"
"38","Dcun1d2"
"39","Ddi2"
"40","Ddit3"
"41","Ddx50"
"42","Dennd11"
"43","Dlc1"
"44","Dnajb1"
"45","Dnajb5"
"46","Dnajc21"
"47","Dse"
"48","Dusp5"
"49","Dusp6"
"50","Dvl3"
"51","Dyrk2"
"52","E130309D02Rik"
"53","Eaf1"
"54","Ecsit"
"55","Edc3"
"56","Edrf1"
"57","Efnb1"
"58","Egln2"
"59","Egr1"
"60","Egr2"
"61","Egr4"
"62","Ephb3"
"63","Errfi1"
"64","Exoc1"
"65","Fam181b"
"66","Fam222b"
"67","Fam43b"
"68","Fam53b"
"69","Fbxl14"
"70","Fbxo42"
"71","Fdx1"
"72","Fgf5"
"73","Fitm2"
"74","Fos"
"75","Fosb"
"76","Gadd45a"
"77","Gba"
"78","Gm20008"
"79","Gm42518"
"80","Gm43860"
"81","Golga3"
"82","Gpr19"
"83","Gpr3"
"84","Gpt2"
"85","H2bc11"
"86","H4c2"
"87","Hexim1"
"88","Hivep3"
"89","Ier3"
"90","Ier5"
"91","Imp4"
"92","Inka2"
"93","Irf2bp2"
"94","Irf2bpl"
"95","Irs1"
"96","Jade2"
"97","Jmjd6"
"98","Kansl3"
"99","Kdm2a"
"100","Kdm6b"
"101","Klf10"
"102","Klf4"
"103","Klhl42"
"104","Kmt5a"
"105","Lamtor3"
"106","Lrrtm2"
"107","Luc7l"
"108","Map3k8"
"109","Max"
"110","Mbd4"
"111","Mcc"
"112","Mdm2"
"113","Mettl7a1"
"114","Mfn1"
"115","Midn"
"116","Mlxip"
"117","Mnt"
"118","Mtfr1"
"119","Mul1"
"120","Mycn"
"121","Nab2"
"122","Ncbp3"
"123","Ncoa3"
"124","Neurl1b"
"125","Nfkb2"
"126","Niban2"
"127","Nostrin"
"128","Nr4a1"
"129","Nuak1"
"130","Nup50"
"131","Nup98"
"132","Otud1"
"133","P4ha1"
"134","Patl1"
"135","Per2"
"136","Pfkfb3"
"137","Phactr4"
"138","Phf21b"
"139","Phf23"
"140","Phf8"
"141","Phlda1"
"142","Phrf1"
"143","Plekha8"
"144","Plekhm1"
"145","Plk2"
"146","Plk3"
"147","Polk"
"148","Polrmt"
"149","Ppm1f"
"150","Ppp1r15a"
"151","Ppp1r15b"
"152","Ppp2r1b"
"153","Ppp4r3b"
"154","Pprc1"
"155","Prdm15"
"156","Prpf3"
"157","Prpf6"
"158","Ptpn1"
"159","Rara"
"160","Rasl11a"
"161","Rbm24"
"162","Rbm41"
"163","Retreg3"
"164","Rhobtb2"
"165","Rin2"
"166","Rnf40"
"167","Rpl7l1"
"168","Rpp25l"
"169","Rsbn1"
"170","Rundc1"
"171","Safb"
"172","Sbk1"
"173","Sik1"
"174","Slc15a4"
"175","Slc25a25"
"176","Slc38a2"
"177","Slc7a1"
"178","Slx4"
"179","Smox"
"180","Snap29"
"181","Sntb2"
"182","Sox21"
"183","Spen"
"184","Spry2"
"185","Spry4"
"186","Spty2d1"
"187","Srfbp1"
"188","Stambpl1"
"189","Stk35"
"190","Stk40"
"191","Sympk"
"192","Synpo"
"193","Taf8"
"194","Tbx3"
"195","Tent4a"
"196","Tet3"
"197","Tgfb3"
"198","Thap2"
"199","Tiparp"
"200","Tle3"
"201","Tmem121b"
"202","Tmem198"
"203","Tmem38b"
"204","Tnfaip3"
"205","Tnfrsf12a"
"206","Tnpo1"
"207","Tomm5"
"208","Tra2b"
"209","Trabd2b"
"210","Traf2"
"211","Trib1"
"212","Trib2"
"213","Trmt1l"
"214","Ttc1"
"215","Ttc17"
"216","Ubn1"
"217","Uck2"
"218","Unc119b"
"219","Urb2"
"220","Usp53"
"221","Uspl1"
"222","Utp4"
"223","Vwa1"
"224","Wdr3"
"225","Zbtb17"
"226","Zbtb2"
"227","Zfp27"
"228","Zfp326"
"229","Zfp334"
"230","Zfp35"
"231","Zfp420"
"232","Zfp592"
"233","Zfp664"
"234","Zfp667"
"235","Zfp68"
"236","Zfp773"
"237","Znrf1"
"238","Zscan29"
"239","Zswim4"
