"","x"
"1","5031439G07Rik"
"2","9230112E08Rik"
"3","9430015G10Rik"
"4","Acin1"
"5","Adamts17"
"6","Adat1"
"7","Amz2"
"8","Ankrd54"
"9","Apba3"
"10","Arhgef5"
"11","Arnt"
"12","Ascc2"
"13","Atg4d"
"14","Atp11a"
"15","Bcat2"
"16","C230057M02Rik"
"17","C230062I16Rik"
"18","Cars"
"19","Catsperz"
"20","Ccdc134"
"21","Cdc7"
"22","Cfap100"
"23","Ciz1"
"24","Cnot3"
"25","Col20a1"
"26","Colgalt1"
"27","Cox19"
"28","Cstf2"
"29","Ctdsp2"
"30","Ctps2"
"31","Ddx41"
"32","Dlk2"
"33","Dmtf1"
"34","Dok3"
"35","Dpf2"
"36","Epha10"
"37","Fam114a2"
"38","Fam149b"
"39","Fancg"
"40","Farsa"
"41","Fcf1"
"42","Fes"
"43","Gcdh"
"44","Gm29093"
"45","Gm43597"
"46","Gm45743"
"47","Gm47097"
"48","Grip2"
"49","Hsf1"
"50","Ilkap"
"51","Ino80e"
"52","Inpp5b"
"53","Ints13"
"54","Ints7"
"55","Irf9"
"56","Itga10"
"57","Kcnn2"
"58","Khdc4"
"59","Klc4"
"60","Knop1"
"61","Las1l"
"62","Ldb1"
"63","Lrrfip1"
"64","Mapk11"
"65","Mau2"
"66","Mcf2l"
"67","Med10"
"68","Mib2"
"69","Mier2"
"70","Mmaa"
"71","Nfkb1"
"72","Nfkbiz"
"73","Nob1"
"74","Numbl"
"75","Nup85"
"76","P4ha2"
"77","Pank4"
"78","Pcyt2"
"79","Plod3"
"80","Pnn"
"81","Pnpla6"
"82","Pnpt1"
"83","Pofut2"
"84","Pop1"
"85","Ppwd1"
"86","Prkd2"
"87","Prpf38b"
"88","Prpf4b"
"89","Psrc1"
"90","Ranbp10"
"91","Rbm39"
"92","Rexo4"
"93","Rnps1"
"94","Rrp1b"
"95","Rsph10b"
"96","Schip1"
"97","Serac1"
"98","Setdb1"
"99","Sh3bp1"
"100","Sh3gl1"
"101","Shc1"
"102","Slc25a36"
"103","Slc25a42"
"104","Sltm"
"105","Spag5"
"106","Spred3"
"107","Srek1"
"108","Srrm3"
"109","Srrt"
"110","Srsf1"
"111","Taf1c"
"112","Tbc1d2"
"113","Tjap1"
"114","Tmem161a"
"115","Tmem39a"
"116","Tor1b"
"117","Trip10"
"118","Trmt44"
"119","Ttf1"
"120","Ttll4"
"121","Tulp3"
"122","Txlna"
"123","U2af1"
"124","Unc45a"
"125","Ypel4"
"126","Zcchc8"
"127","Zcchc9"
"128","Zfp207"
"129","Zfp329"
"130","Zfp335"
"131","Zfp410"
"132","Zfp426"
"133","Zfp57"
"134","Zfp598"
"135","Zfp882"
"136","Zscan22"
"137","Zscan26"
"138","Zup1"
