"","x"
"1","AA986860"
"2","Aebp2"
"3","Ap1ar"
"4","Atg14"
"5","C79130"
"6","Ccdc97"
"7","Cep126"
"8","Cnst"
"9","Ddx20"
"10","Dlx5"
"11","Ecpas"
"12","Elapor1"
"13","Elmo1"
"14","Fam222a"
"15","Fryl"
"16","Gnb5"
"17","Golga4"
"18","Grk5"
"19","Hey1"
"20","Inpp5a"
"21","Itga5"
"22","Jcad"
"23","Kazn"
"24","Kctd8"
"25","Kdm3a"
"26","Klhl1"
"27","Lgr5"
"28","Lrrk2"
"29","Lrrtm3"
"30","Lzts3"
"31","Mark2"
"32","Mn1"
"33","Nin"
"34","Npas2"
"35","Osbpl8"
"36","Otud4"
"37","Pard6b"
"38","Pcdhb16"
"39","Pcdhb8"
"40","Pde6d"
"41","Pdzd2"
"42","Pianp"
"43","Pik3c2b"
"44","Polr3a"
"45","Ppm1d"
"46","Pptc7"
"47","Prxl2c"
"48","Ptchd1"
"49","Rbm26"
"50","Rgs2"
"51","Rgs20"
"52","Rgs7bp"
"53","Ric8b"
"54","Rnf44"
"55","Rps6ka3"
"56","Scrt2"
"57","Slmap"
"58","Smurf1"
"59","Stc1"
"60","Stk26"
"61","Tada1"
"62","Tarsl2"
"63","Tdrp"
"64","Tiam2"
"65","Tle4"
"66","Tlnrd1"
"67","Tmem131l"
"68","Tmem167"
"69","Tmem200b"
"70","Tmem263"
"71","Tpm1"
"72","Trappc11"
"73","Trerf1"
"74","Ubl3"
"75","Unc79"
"76","Zfp280b"
"77","Zfp385b"
"78","Zfp428"
"79","Zswim6"
