"","x"
"1","Acot13"
"2","Acot6"
"3","Adam11"
"4","Adgra3"
"5","Ahcyl2"
"6","Akain1"
"7","Aqp11"
"8","C1ql2"
"9","Cabp7"
"10","Cat"
"11","Cdkl4"
"12","Cldn10"
"13","Crhbp"
"14","D16Ertd472e"
"15","Daam1"
"16","Dmrta2"
"17","Faah"
"18","Glo1"
"19","Hopx"
"20","Hpdl"
"21","Hsd11b1"
"22","Hsd17b11"
"23","Htr7"
"24","Kbtbd11"
"25","Klhl26"
"26","Laptm4a"
"27","Lcat"
"28","Lct"
"29","Map4"
"30","Mblac1"
"31","Neurod2"
"32","Npdc1"
"33","Npr3"
"34","Nrip3"
"35","Ogfod3"
"36","Paxip1"
"37","Pde11a"
"38","Prox1"
"39","Ptges3-ps"
"40","Retsat"
"41","Rnf182"
"42","Rnf34"
"43","Sbf1"
"44","Serpina3n"
"45","Skida1"
"46","Slc17a6"
"47","Spink8"
"48","Srl"
"49","Stk3"
"50","Stk32b"
"51","Taco1"
"52","Tdo2"
"53","Tgm2"
"54","Thrsp"
"55","Tox2"
"56","Trim28"
"57","Tshz2"
"58","Ube2e2"
"59","Zfpm2"
