"","x"
"1","1700123O20Rik"
"2","2210408F21Rik"
"3","2610021A01Rik"
"4","2810006K23Rik"
"5","4921524J17Rik"
"6","4930453N24Rik"
"7","5330416C01Rik"
"8","5830417I10Rik"
"9","8030462N17Rik"
"10","9330159F19Rik"
"11","A230056P14Rik"
"12","Abracl"
"13","Acap2"
"14","Acbd3"
"15","Adam19"
"16","Adat2"
"17","Adcy4"
"18","Adgrl4"
"19","Aftph"
"20","Aggf1"
"21","Ago3"
"22","Ahctf1"
"23","Ahnak"
"24","Ahsa1"
"25","Aig1"
"26","Ak6"
"27","Akirin1"
"28","Alkbh8"
"29","Amd1"
"30","Amer2"
"31","Ankhd1"
"32","Ankrd11"
"33","Ankrd17"
"34","Ankrd34a"
"35","Anln"
"36","Ap1g1"
"37","Aqr"
"38","Arhgap21"
"39","Arhgef18"
"40","Arid2"
"41","Arid5b"
"42","Arih1"
"43","Arl5b"
"44","Asap2"
"45","Asb6"
"46","Atg101"
"47","Atg3"
"48","Atg4b"
"49","Atp6v0a2"
"50","Atp7a"
"51","AU022252"
"52","B230354K17Rik"
"53","B4galt5"
"54","Bag3"
"55","Baz1b"
"56","Bcl11a"
"57","Bcl2"
"58","Bcl2l1"
"59","Bcl2l11"
"60","Bdp1"
"61","Bfsp2"
"62","Bop1"
"63","Bpnt1"
"64","Brix1"
"65","Brms1l"
"66","Btrc"
"67","Bud23"
"68","C2cd3"
"69","Caap1"
"70","Camk1g"
"71","Camkk1"
"72","Capn7"
"73","Casc3"
"74","Caskin1"
"75","Castor2"
"76","Ccdc32"
"77","Ccdc6"
"78","Ccnt1"
"79","Ccpg1"
"80","Cdyl2"
"81","Cebpz"
"82","Cep120"
"83","Cep19"
"84","Cep350"
"85","Cep97"
"86","Cept1"
"87","Chac2"
"88","Chd2"
"89","Chdh"
"90","Chmp1b"
"91","Chrm1"
"92","Ciapin1"
"93","Clba1"
"94","Clint1"
"95","Cmc2"
"96","Cnnm4"
"97","Cnot4"
"98","Cnot9"
"99","Cog4"
"100","Cog6"
"101","Creb1"
"102","Creb3l2"
"103","Crebl2"
"104","Creld1"
"105","Creld2"
"106","Crem"
"107","Crnkl1"
"108","Cryab"
"109","Ctcf"
"110","Ctnna1"
"111","Ctnnbl1"
"112","Cxcl12"
"113","Cyhr1"
"114","Cys1"
"115","Daxx"
"116","Dcun1d5"
"117","Ddx19b"
"118","Dhx37"
"119","Dixdc1"
"120","Dnajb4"
"121","Dnajc28"
"122","Drosha"
"123","Dtx4"
"124","Dync2h1"
"125","Ebp"
"126","Edem3"
"127","Eef1d"
"128","Efr3a"
"129","Egr3"
"130","Eif1"
"131","Eif1b"
"132","Eif3j1"
"133","Elfn2"
"134","Elk4"
"135","Elovl6"
"136","Eml4"
"137","Emsy"
"138","Eng"
"139","Ensa"
"140","Ep300"
"141","Eps15"
"142","Erbb3"
"143","Eri1"
"144","Ero1a"
"145","Erp44"
"146","Etf1"
"147","Ethe1"
"148","Etv5"
"149","Etv6"
"150","Ezh1"
"151","Fam13b"
"152","Fam161b"
"153","Fam207a"
"154","Fam20a"
"155","Fam91a1"
"156","Farp2"
"157","Fastkd5"
"158","Fbxl18"
"159","Fezf2"
"160","Fgd5"
"161","Fkbp4"
"162","Fktn"
"163","Flii"
"164","Flt1"
"165","Fmnl1"
"166","Fn1"
"167","Fndc3a"
"168","Fut11"
"169","Fv1"
"170","Fxr2"
"171","Fzd1"
"172","Galnt7"
"173","Gapvd1"
"174","Gbf1"
"175","Gcc1"
"176","Gdap2"
"177","Gfod1"
"178","Gga3"
"179","Ggps1"
"180","Gigyf2"
"181","Gm10118"
"182","Gm10509"
"183","Gm11944"
"184","Gm14296"
"185","Gm29514"
"186","Gm3055"
"187","Gm37254"
"188","Gm40518"
"189","Gm42547"
"190","Gm43737"
"191","Gm46637"
"192","Gm49949"
"193","Gnai3"
"194","Gng12"
"195","Gpr107"
"196","Gramd1b"
"197","Gramd4"
"198","Gtf2b"
"199","Gtpbp4"
"200","Gzf1"
"201","H1f5"
"202","H2ac13"
"203","H2ac4"
"204","H3c10"
"205","H3c11"
"206","H4c14"
"207","H4c17"
"208","H4c18"
"209","H4c8"
"210","H4c9"
"211","Hax1"
"212","Hbs1l"
"213","Hcfc2"
"214","Hcrtr2"
"215","Hdgf"
"216","Heatr1"
"217","Heca"
"218","Helz"
"219","Hif1an"
"220","Hip1"
"221","Hivep1"
"222","Hnrnpf"
"223","Hnrnpu"
"224","Homer1"
"225","Hrh1"
"226","Htra1"
"227","Iars"
"228","Icmt"
"229","Ifit1bl2"
"230","Igf1r"
"231","Il6ra"
"232","Il6st"
"233","Impa1"
"234","Impdh2"
"235","Inhbb"
"236","Insig2"
"237","Insyn2a"
"238","Ints11"
"239","Ints12"
"240","Iws1"
"241","Jak2"
"242","Jup"
"243","Kcnf1"
"244","Kctd20"
"245","Kctd21"
"246","Kdm7a"
"247","Klhl18"
"248","Klhl25"
"249","Klhl28"
"250","Klhl29"
"251","Klhl32"
"252","Kmt2a"
"253","L2hgdh"
"254","Larp1"
"255","Layn"
"256","Ldah"
"257","Lig4"
"258","Lipa"
"259","Lonrf1"
"260","Lonrf3"
"261","Lrrc57"
"262","Lrrc58"
"263","Lsm14a"
"264","Luzp1"
"265","Lyst"
"266","Maml3"
"267","Manf"
"268","Map3k13"
"269","Mapkapk2"
"270","Mapkbp1"
"271","Mark3"
"272","Mast2"
"273","Mbnl1"
"274","Mbnl2"
